cem N_HT TCP_10 TCP_kill_10 TCP_60 TCP_kill_60 TCP_120 TCP_kill_120 TCP_240 TCP_kill_240
8.150000000000000000e+01 3.000000000000000000e+00 9.057306773684272727e-01 9.761030767348609638e-01 8.071122064120342943e-01 9.493030273793032769e-01 7.101524032736976633e-01 9.205666694669825123e-01 6.095080978713545150e-01 8.874952712973100954e-01
8.250000000000000000e+01 3.000000000000000000e+00 9.070701153467950473e-01 9.767781416122787164e-01 8.085477885409236842e-01 9.503946779306599035e-01 7.112195376181393858e-01 9.219574587048851022e-01 6.099313878706770220e-01 8.891158640601972696e-01
8.350000000000000000e+01 3.000000000000000000e+00 9.073579740569869267e-01 9.771015775715362617e-01 8.088384863998810959e-01 9.510357675940762645e-01 7.114106704567959572e-01 9.229191654691398794e-01 6.099907063145162400e-01 8.904346200500690145e-01
8.450000000000000000e+01 3.000000000000000000e+00 9.081869461727765103e-01 9.775608912708307896e-01 8.097005666480479036e-01 9.517755287983921120e-01 7.120435824159127014e-01 9.238657337941813541e-01 6.102414509716715951e-01 8.915474174422626241e-01
8.550000000000000000e+01 3.000000000000000000e+00 9.083702265774217244e-01 9.778106075093898619e-01 8.098727272316690318e-01 9.522727467598829376e-01 7.121497337651901960e-01 9.246173067582770244e-01 6.102711978883954558e-01 8.925859409436964764e-01
8.650000000000000000e+01 3.000000000000000000e+00 9.088579017761154732e-01 9.781668820570906808e-01 8.103803225544854438e-01 9.529219667670507654e-01 7.125094146578833110e-01 9.255347511049057951e-01 6.104028343113886423e-01 8.937791811285362709e-01
8.750000000000000000e+01 3.000000000000000000e+00 9.088157228413554778e-01 9.783160336265609436e-01 8.102944159532713408e-01 9.532380309498480475e-01 7.124240239689032528e-01 9.260386234789815818e-01 6.103607826789241297e-01 8.945079982118032680e-01
8.850000000000000000e+01 3.000000000000000000e+00 9.095223721229146463e-01 9.787215009101569718e-01 8.110301493384182159e-01 9.539165367856554667e-01 7.129598042748855891e-01 9.269355374000971537e-01 6.105693402835652428e-01 8.956001522610700372e-01
8.950000000000000000e+01 3.000000000000000000e+00 9.102509775657787738e-01 9.791427910263122980e-01 8.118085367398262253e-01 9.546510512671212423e-01 7.135314899099682862e-01 9.279349374874912293e-01 6.107911607343913252e-01 8.968495110857990227e-01
9.050000000000000000e+01 3.000000000000000000e+00 9.112423083435468030e-01 9.796693713301485307e-01 8.129082575532696753e-01 9.555996842294531834e-01 7.143458486211624603e-01 9.292472169779114610e-01 6.111029769658693489e-01 8.985114504303581828e-01
9.150000000000000000e+01 3.000000000000000000e+00 9.110304842129441916e-01 9.797268354279256020e-01 8.126253649912724697e-01 9.557435621971860362e-01 7.141126521243514880e-01 9.295073037360074286e-01 6.110047845889661211e-01 8.989257718170116096e-01
9.250000000000000000e+01 3.000000000000000000e+00 9.119873224259098521e-01 9.802065796805502496e-01 8.136723789688342645e-01 9.565716563868564837e-01 7.148923914576517102e-01 9.306172861590613632e-01 6.113105834207339662e-01 9.002878960963971444e-01
9.350000000000000000e+01 3.000000000000000000e+00 9.122917264806565951e-01 9.804536000432244602e-01 8.139753825038901214e-01 9.570281317070420402e-01 7.151017700718864667e-01 9.312726402300876005e-01 6.113861442532374513e-01 9.011540212891215873e-01
9.450000000000000000e+01 3.000000000000000000e+00 9.135450317651798713e-01 9.810244506422415300e-01 8.153825678029110735e-01 9.580254945182352655e-01 7.161619510593495441e-01 9.326139702109562668e-01 6.118036496960147508e-01 9.027997100784334039e-01
9.550000000000000000e+01 3.000000000000000000e+00 9.136720625721876932e-01 9.811700750580260033e-01 8.154772280846698251e-01 9.582770316395607946e-01 7.162202961166399540e-01 9.329636954524278547e-01 6.118271023517558582e-01 9.032509183382689821e-01
9.650000000000000000e+01 3.000000000000000000e+00 9.148016326680521448e-01 9.817135384715620638e-01 8.167523786617848502e-01 9.592622469589995315e-01 7.171753047228180966e-01 9.343281229767925744e-01 6.121967813577190443e-01 9.049764695353066379e-01
9.750000000000000000e+01 3.000000000000000000e+00 9.151953533461136825e-01 9.819657467009796914e-01 8.171680406481885983e-01 9.597238226105035963e-01 7.174770448180827209e-01 9.349816410436666558e-01 6.123122527318457520e-01 9.058255801521835071e-01
9.850000000000000000e+01 3.000000000000000000e+00 9.148815661192568616e-01 9.819960364481032933e-01 8.167835008931065843e-01 9.598592556312145474e-01 7.171607959437880098e-01 9.352701380839419931e-01 6.121729707955873012e-01 9.063257997238054475e-01
9.950000000000000000e+01 3.000000000000000000e+00 9.141680573060610993e-01 9.818778562921711695e-01 8.159208816626033478e-01 9.597172778510588698e-01 7.164817669532893563e-01 9.351743875207106926e-01 6.118955677161563855e-01 9.063435276986965272e-01
1.005000000000000000e+02 3.000000000000000000e+00 9.165149328637964832e-01 9.827547376815456426e-01 8.185977238225922159e-01 9.611866066474775705e-01 7.185283457622639869e-01 9.370639203002004702e-01 6.127171860400015824e-01 9.085386094837115678e-01
1.015000000000000000e+02 3.000000000000000000e+00 9.161983883966388076e-01 9.827762664285986105e-01 8.181989192841311320e-01 9.612892425457356671e-01 7.182002491861477766e-01 9.372908788828323567e-01 6.125749265635409557e-01 9.089421367149153053e-01
1.025000000000000000e+02 3.000000000000000000e+00 9.169635769591811814e-01 9.831403678240171473e-01 8.190595730056974277e-01 9.619492806011861186e-01 7.188467585265867488e-01 9.382058342689892916e-01 6.128277672517941088e-01 9.100996714646542030e-01
1.035000000000000000e+02 3.000000000000000000e+00 9.171548029709720717e-01 9.833084939409720837e-01 8.192591696292840231e-01 9.622893948116121310e-01 7.189896687065652214e-01 9.387243785756105297e-01 6.128814252126861817e-01 9.108179775139146894e-01
