Temp TCP TCP_5 TCP_50
4.140381662658464279e+01 9.647916216324501359e-01 7.602747854380883519e-01 9.999867277938423449e-01
4.188035091309343727e+01 9.839792383542464993e-01 9.951547053710190216e-01 9.999999985371654798e-01
4.183186756927332794e+01 9.854447197531435165e-01 9.007576465516285991e-01 9.999999999989516164e-01
4.082605290874996484e+01 9.292363626786934727e-01 9.871594338914212452e-01 6.378707061541443180e-01
4.179434503777778076e+01 9.854695880400901054e-01 9.532054677054392355e-01 0.000000000000000000e+00
4.073479024050900676e+01 9.274909087516847173e-01 9.653174325884222862e-01 9.999999972481966592e-01
4.011022194987600642e+01 8.856375067835202675e-01 9.409499240605608827e-01 2.583576158184890115e-02
4.120139994556716090e+01 9.674857574899847767e-01 9.841302060510270788e-01 9.930760302473606860e-01
4.057804239871330765e+01 9.381268160634881337e-01 6.034546774001813274e-01 0.000000000000000000e+00
4.120798441439306714e+01 9.634701123941671330e-01 9.774163387549691384e-01 9.999999811807386285e-01
3.999617641499955312e+01 8.807014848985145195e-01 6.458472372775198034e-01 9.898862959882243073e-01
4.161885046756096074e+01 9.806996601836166505e-01 9.335297098025012730e-01 8.284304822790443668e-01
4.147329606003800251e+01 9.726376299740538967e-01 9.788036865912951301e-01 9.986014541418966051e-01
4.098423157158819663e+01 9.525770453170909757e-01 6.728954242403279995e-01 9.960008349107782877e-01
4.024236480975658026e+01 8.914917328243920913e-01 7.603267208880623018e-01 0.000000000000000000e+00
4.047072430210557314e+01 9.109576877583468457e-01 9.823286970854102629e-01 0.000000000000000000e+00
4.048490887983246012e+01 9.020292794863180585e-01 7.285500616419041675e-01 9.999999987480236996e-01
4.133770049070768238e+01 9.681941943438598930e-01 9.709184627251877808e-01 5.935306247595065754e-01
4.138320199581310987e+01 9.656248234859773349e-01 7.833827778929991492e-01 9.551139155178566334e-03
4.162710436821889459e+01 9.729475934892483080e-01 9.838947664750801181e-01 9.976136233803605258e-01
4.134552867527707321e+01 9.669622939857360766e-01 9.404715242760061100e-01 4.634490655976366766e-03
4.066826247193533561e+01 9.354180076808977784e-01 7.753303191039916387e-01 9.999999426640233668e-01
4.092041967286307624e+01 9.505774805831999075e-01 9.937426807512258486e-01 8.613935525747868915e-01
4.083586998750163843e+01 9.397208025353749328e-01 9.741783010274293053e-01 1.973464863027825714e-37
4.030259639107166691e+01 9.082630261337649724e-01 8.947026458346545308e-01 9.999999993328542169e-01
4.144230823930744378e+01 9.733164520899285632e-01 9.380392601546494458e-01 1.283447279767599980e-01
4.067230949202586032e+01 9.270326131588740859e-01 9.871531815567827772e-01 3.944768966851561753e-01
4.139030194462380052e+01 9.735742967311558083e-01 9.553641322286691162e-01 2.670147709548645332e-01
4.114655257347158823e+01 9.621263750585646868e-01 8.685318934591009787e-01 9.994690680378370828e-01
4.104160505654765956e+01 9.523480285548179269e-01 9.260466499635717774e-01 1.325777798791158424e-01
4.119056922846463209e+01 9.566620017361265882e-01 9.958309548011309298e-01 9.999792237113573901e-01
4.050785788960669009e+01 9.041210759566016275e-01 7.528054884266412172e-02 9.999897496958322085e-01
4.199334891276803461e+01 9.885299796750095513e-01 9.969910562499759710e-01 2.111800551711335835e-98
4.042762344546680708e+01 9.112735253288515302e-01 9.876047740728424174e-01 9.999999801472182481e-01
4.100559208658355459e+01 9.538843921316922936e-01 7.361778120944144632e-01 6.127046520937574635e-99
4.012854398343056062e+01 8.757213125227376604e-01 9.797157903866743345e-01 9.999999953721174784e-01
4.114307995771045512e+01 9.563027943198100234e-01 5.861725348977455674e-01 9.854774485496020642e-01
4.152869222734503296e+01 9.671542123205987274e-01 9.928516072550850335e-01 9.999999999572906084e-01
4.179047536970615084e+01 9.778773216511994493e-01 9.886886641234066131e-01 1.379839367165871632e-102
4.092306618010412933e+01 9.412446838451925535e-01 9.972274990454026433e-01 9.999999514253464783e-01
4.097133241815893001e+01 9.491131583129261973e-01 6.468652799990051161e-01 4.605350461871016710e-01
4.069465048339104385e+01 9.303466419205829174e-01 9.807801227373691422e-01 9.489536866192165299e-01
4.064859054054709020e+01 9.506432578625350072e-01 9.917861149774320761e-01 7.854362655332930869e-30
4.111207785121641933e+01 9.607443105067722255e-01 9.881532548865651355e-01 0.000000000000000000e+00
4.196290774256916478e+01 9.879062592103140528e-01 9.509679244179155555e-01 9.589271144043214345e-01
4.083500864125065277e+01 9.531743325165313863e-01 2.942398865507179773e-01 9.969401347393971324e-01
4.217041904835645028e+01 9.888923233910938970e-01 9.952382327975809462e-01 9.896678365953832657e-01
4.016852524546343517e+01 8.817647471831400185e-01 9.444410799090442454e-01 9.318628976624107052e-01
4.106993439325863449e+01 9.597052111142102548e-01 9.893541180692790871e-01 9.923764595119189957e-01
4.029304222397573909e+01 8.956620971712231372e-01 6.893662911926168313e-01 9.999999960098382434e-01
4.024383782511075935e+01 8.988726680376158962e-01 9.460868322781835760e-01 9.999999989147161372e-01
4.100229829036731388e+01 9.495282637380121349e-01 9.607190687280527941e-01 9.999962074180724914e-01
4.090771973802200279e+01 9.508623868182733974e-01 9.581189830904615068e-01 7.412050134122964984e-01
4.098648971108273997e+01 9.651814644329291815e-01 4.487656862031720872e-01 9.999999868337101638e-01
