Temp_min Temp Temp_max TCP TCP_kill
4.049294615542321907e+01 4.166801742252965113e+01 4.271932086351969104e+01 9.091868551399607812e-01 9.789374918176052542e-01
3.973019021205993795e+01 4.112690704302265488e+01 4.256872426218745886e+01 8.834243023804111417e-01 9.586067854321663750e-01
4.028505866765852517e+01 4.133038126055637207e+01 4.230560266436820172e+01 8.933175614773225526e-01 9.659430648767209915e-01
3.936395505388956195e+01 4.055961462544524920e+01 4.241832811406893455e+01 8.518189469630952360e-01 9.302583597815706762e-01
3.970161189940863977e+01 4.047084053839249407e+01 4.172640728247826303e+01 8.438297305174317087e-01 9.119573208203949344e-01
3.901753105230030627e+01 4.107781380275894634e+01 4.251873251383702268e+01 8.826906605527320426e-01 9.600122736722576100e-01
3.977251925778433872e+01 4.102697248142470698e+01 4.259723314574367237e+01 8.784525082749284897e-01 9.554031657422937807e-01
3.903830681268789959e+01 4.077796332726703810e+01 4.262820850238028925e+01 8.680629277434407376e-01 9.525313472741602228e-01
3.921961944087605900e+01 4.058679139357670351e+01 4.210929958459899325e+01 8.535873992134886956e-01 9.294093286694454781e-01
3.906859385549267216e+01 4.100660265873375465e+01 4.269231845502362432e+01 8.789923022878507464e-01 9.583662312236890246e-01
3.960245259099294657e+01 4.116641555238195593e+01 4.220180439201951117e+01 8.850704703895617698e-01 9.574349651297114905e-01
3.919073472590865492e+01 4.090368433005528459e+01 4.287041953115431170e+01 8.740789833086487493e-01 9.576564559087775708e-01
3.957143182681824101e+01 4.160660526308070928e+01 4.281978983184760779e+01 9.084326507443790666e-01 9.810873455974582491e-01
4.062866486930374776e+01 4.143328889874756982e+01 4.291125952852384273e+01 8.982572438465697973e-01 9.715820009798021850e-01
3.906519922704912773e+01 4.157811682059579539e+01 4.245273124952448995e+01 9.084613876824341183e-01 9.816642306985898792e-01
3.965882700598925936e+01 4.033011889265601724e+01 4.179054307259981726e+01 8.348620396201141824e-01 9.028783811461049691e-01
4.036482744038414694e+01 4.094403703406294426e+01 4.184527437341425582e+01 8.709878169599050146e-01 9.388720386946486363e-01
3.989692778467070156e+01 4.124969129127408962e+01 4.247141497047792313e+01 8.891780523278408621e-01 9.619003538980938073e-01
3.903238781692012793e+01 4.012095868573773316e+01 4.233753022442875391e+01 8.251133282588822837e-01 9.063266595571899398e-01
4.008789677155106546e+01 4.123378652924459686e+01 4.196895754562050485e+01 8.876142140114156032e-01 9.580939001172095182e-01
3.901379664618799836e+01 4.042760387774468001e+01 4.236508478083999307e+01 8.444719054015414894e-01 9.238694950800363515e-01
3.981644277845293800e+01 4.114841806017888359e+01 4.201748503292627390e+01 8.833105511611444305e-01 9.538726018537840856e-01
3.911586598443350482e+01 4.030669332980018282e+01 4.141823679107500311e+01 8.340421346302951955e-01 9.013940653033915007e-01
4.053608486322325177e+01 4.158637837902882950e+01 4.266925825146590512e+01 9.055038079004993357e-01 9.762625008209422361e-01
4.020840894175756830e+01 4.145785156710350350e+01 4.281067658017104094e+01 8.998632049429903246e-01 9.729231311733299581e-01
3.918739987492236310e+01 4.070049577554188858e+01 4.253857389255694699e+01 8.611208707231723380e-01 9.412421045136492026e-01
3.926918977732009353e+01 3.995888581569197129e+01 4.071049335713806983e+01 8.075498712120638967e-01 8.633045053970630489e-01
4.122695589019150475e+01 4.200448030622110451e+01 4.279159530749969065e+01 9.224275822950525061e-01 9.859848773118069509e-01
3.917621790750244770e+01 4.024162459727625674e+01 4.219590422156460363e+01 8.316693949979316880e-01 9.082410797518164491e-01
3.920034510124975213e+01 4.069557276952865976e+01 4.270968749973592793e+01 8.613959787011907787e-01 9.443921970570957614e-01
3.918347139400283652e+01 4.102141218369390430e+01 4.239922187831942324e+01 8.801429759053664981e-01 9.596490084504853968e-01
4.018451104719877520e+01 4.103113988683211488e+01 4.144315850642945520e+01 8.756142033721843188e-01 9.425487771599256881e-01
3.900222878056052167e+01 4.019883142369000240e+01 4.122461713974994524e+01 8.256313783707976972e-01 8.881862768281326703e-01
3.927995679904221049e+01 4.083067635319071087e+01 4.233212159695344212e+01 8.690545328959109472e-01 9.482567793183918070e-01
3.914086422471125815e+01 4.086342282181095698e+01 4.232536784613554204e+01 8.705548457443506027e-01 9.484381992448054355e-01
3.963223485185655903e+01 4.082849047696600309e+01 4.252779843397888015e+01 8.673606244928374620e-01 9.449848283619769473e-01
3.937552561587938982e+01 4.068370594465095991e+01 4.265151964112773442e+01 8.600264933255027389e-01 9.416217833879174659e-01
4.154908470229594997e+01 4.225444655664388449e+01 4.286332155808594280e+01 9.317490637184948632e-01 9.908475811295827107e-01
3.921265414752139122e+01 4.079688708751030646e+01 4.198390122502480892e+01 8.661886977267927445e-01 9.422746504970406223e-01
3.912114910104534715e+01 4.070886342578444328e+01 4.250938981364380709e+01 8.622871425465667983e-01 9.432105973310996871e-01
4.114252200777195156e+01 4.157131462489829232e+01 4.253255670312992720e+01 9.034630954383795487e-01 9.715166921237897713e-01
4.051698714281165081e+01 4.140381662658464279e+01 4.228551750988102498e+01 8.956721751300416035e-01 9.647916216324501359e-01
4.056354751064664299e+01 4.188035091309343727e+01 4.267572806620469095e+01 9.179903345879251164e-01 9.839792383542464993e-01
